# ==============================================================================
# DATOS PARTE 2: PLANIFICACIÓN INTEGRADA CON RECURSOS HUMANOS (v2)
# ==============================================================================

set P := A B;
set T := 1 2 3 4 5 6 7 8 9 10 11 12;

param demanda:
        1   2   3   4   5   6   7   8   9   10  11  12 :=
A       73  60  48  66  63  48  57  68  52  76  67  76
B       63  72  57  67  44  59  48  64  40  63  64  77;

param utilidad:
        1   2   3   4   5   6   7   8   9   10  11  12 :=
A       8   22  6   32  28  14  20  36  10  6   40  22
B       20  16  20  6   20  29  8   30  6   8   6   28;

param horas_maquina:
        1     2     3     4     5     6     7     8     9     10    11    12 :=
A       0.1   2.0   0.9   1.2   1.8   0.7   0.8   0.4   1.5   2.1   1.9   1.5
B       0.2   1.9   0.7   1.7   0.8   1.6   1.0   0.6   1.5   0.3   2.0   1.4;

param capacidad :=
1   180
2   180
3   160
4   190
5   130
6   160
7   160
8   130
9   140
10  150
11  150
12  150;

param costo_inventario :=
1   3
2   5
3   2
4   4
5   2
6   4
7   2
8   6
9   2
10  2
11  4
12  2;

param inventario_seguridad :=
1   6
2   7
3   10
4   5
5   10
6   7
7   7
8   10
9   5
10  7
11  9
12  8;

param inventario_maximo :=
1   30
2   30
3   27
4   24
5   25
6   21
7   21
8   25
9   22
10  25
11  22
12  30;

param inventario_inicial :=
A 10
B 10;

# Parámetros de Recursos Humanos (Tabla 5)
param dotacion_inicial := 300;
param requerimiento_hh := 3;

param costo_regular :=
1   2.8
2   0.6
3   2.8
4   1.0
5   2.5
6   0.8
7   1.4
8   1.5
9   3.6
10  3.2
11  4.2
12  2.6;

param costo_horas_extras :=
1   3.4
2   0.9
3   3.4
4   2.0
5   3.2
6   1.3
7   2.5
8   2.2
9   4.0
10  4.1
11  5.2
12  3.7;

param costo_contratacion :=
1   0.8
2   0.4
3   0.9
4   0.3
5   0.3
6   0.4
7   1.2
8   0.2
9   0.7
10  0.3
11  1.2
12  1.1;

param costo_despido :=
1   2.0
2   1.0
3   1.0
4   1.0
5   1.0
6   0.5
7   0.5
8   0.5
9   1.0
10  1.0
11  1.0
12  1.0;
